code;nom;zone_code;population;nb_commerces_estime
Q01;À_REMPLACER — Quartier 01;Z1;3466;362
Q02;À_REMPLACER — Quartier 02;Z1;3466;362
Q03;À_REMPLACER — Quartier 03;Z1;3466;362
Q04;À_REMPLACER — Quartier 04;Z1;3466;362
Q05;À_REMPLACER — Quartier 05;Z1;3466;362
Q06;À_REMPLACER — Quartier 06;Z2;3466;362
Q07;À_REMPLACER — Quartier 07;Z2;3466;362
Q08;À_REMPLACER — Quartier 08;Z2;3466;362
Q09;À_REMPLACER — Quartier 09;Z2;3466;362
Q10;À_REMPLACER — Quartier 10;Z2;3466;362
Q11;À_REMPLACER — Quartier 11;Z3;3466;362
Q12;À_REMPLACER — Quartier 12;Z3;3466;362
Q13;À_REMPLACER — Quartier 13;Z3;3466;362
Q14;À_REMPLACER — Quartier 14;Z3;3466;362
Q15;À_REMPLACER — Quartier 15;Z3;3466;362
